Model,RMSE,MAE,R² Score
XGBoost,0.4717943691423984,0.30957335413783094,0.8301370561019205
Random Forest,0.5054678690929896,0.32761306601259704,0.805024407701793
Decision Tree,0.7030445773467542,0.4537843265503876,0.6228111330554302
Linear Regression,0.7455813830127764,0.5332001304956565,0.5757877060324508
